,coy_rank,name,coy_share,year,id
334,4,John Harbaugh,0.058,2023,HarbJo0
335,5,Kyle Shanahan,0.058,2023,ShanKy0
336,6,Sean McVay,0.047,2023,McVaSe0
337,7,Mike Tomlin,0.011,2023,TomlMi0
338,8,Shane Steichen,0.009,2023,SteiSh0
339,9,Matt LaFleur,0.004,2023,LaFlMa0
340,10,Todd Bowles,0.002,2023,BowlTo0
341,11,Mike McDaniel,0.002,2023,McDaMi0
342,12,Sean McDermott,0.002,2023,McDeSe0
343,1,Kevin O'Connell,0.344,2024,OConKe0
344,2,Dan Campbell,0.27,2024,CampDa1
345,3,Andy Reid,0.113,2024,ReidAn0
346,4,Dan Quinn,0.081,2024,QuinDa0
347,5,Sean Payton,0.068,2024,PaytSe0
348,6,Jim Harbaugh,0.056,2024,HarbJi0
349,7,Sean McDermott,0.03,2024,McDeSe0
350,8,Mike Tomlin,0.015,2024,TomlMi0
351,9,Sean McVay,0.009,2024,McVaSe0
352,10,Matt LaFleur,0.007,2024,LaFlMa0
353,11,Todd Bowles,0.003,2024,BowlTo0
354,12,Nick Sirianni,0.003,2024,SiriNi0
355,13,John Harbaugh,0.002,2024,HarbJo0
356,1,Mike Vrabel,0.297,2025,VrabMi0
357,2,Liam Coen,0.235,2025,CoenLi0
358,3,Mike Macdonald,0.188,2025,MacdMi0
359,4,Ben Johnson,0.143,2025,JohnBe0
360,5,Kyle Shanahan,0.138,2025,ShanKy0
