,Year,Age,Tm,Lg,G,W,L,T,W-L%,SRS,OSRS,DSRS,G plyf,W plyf,L plyf,W-L% plyf,Rank,Won,Num,Notes,id
134,1977,45,PIT,NFL,14,9,5,0,0.643,6.2,3.9,2.3,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0,NollCh0
135,1978,46,PIT,NFL,16,14,2,0,0.875,8.2,2.6,5.6,3.0,3.0,0.0,1.0,1.0,0.0,0.0,Super Bowl Champions,NollCh0
136,1979,47,PIT,NFL,16,12,4,0,0.75,11.9,6.8,5.1,3.0,3.0,0.0,1.0,1.0,0.0,0.0,Super Bowl Champions,NollCh0
137,1980,48,PIT,NFL,16,9,7,0,0.563,2.3,2.4,-0.1,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0,NollCh0
138,1981,49,PIT,NFL,16,8,8,0,0.5,2.7,1.2,1.5,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0,NollCh0
139,1982,50,PIT,NFL,9,6,3,0,0.667,5.2,3.4,1.8,1.0,0.0,1.0,0.0,2.0,0.0,0.0,0,NollCh0
140,1983,51,PIT,NFL,16,10,6,0,0.625,-0.1,-1.2,1.1,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0,NollCh0
141,1984,52,PIT,NFL,16,9,7,0,0.563,3.3,2.4,0.9,2.0,1.0,1.0,0.5,1.0,0.0,0.0,0,NollCh0
142,1985,53,PIT,NFL,16,7,9,0,0.438,-0.5,0.6,-1.1,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0,NollCh0
143,1986,54,PIT,NFL,16,6,10,0,0.375,-1.0,-1.3,0.3,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0,NollCh0
144,1987,55,PIT,NFL,15,8,7,0,0.533,0.7,-2.2,2.9,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0,NollCh0
145,1988,56,PIT,NFL,16,5,11,0,0.313,-5.3,0.1,-5.5,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0,NollCh0
146,1989,57,PIT,NFL,16,9,7,0,0.563,-3.7,-4.3,0.6,2.0,1.0,1.0,0.5,3.0,0.0,0.0,0,NollCh0
